id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,point_capture_progress,MapDataId
941,29,point_progress,461.41,2,T_5568bd9d,0,33.39,63
942,29,point_progress,462.85,2,T_5568bd9d,0,66.89,63
943,29,point_progress,512.36,2,T_a02bf5e9,0,33.59,63
944,29,point_progress,514.15,2,T_a02bf5e9,0,66.79,63
945,29,point_progress,516.04,2,T_a02bf5e9,0,99.99,63
946,29,point_progress,549.19,2,T_5568bd9d,0,33.85,63
947,29,point_progress,550.5,2,T_5568bd9d,0,66.65,63
948,29,point_progress,610.56,3,T_f27c3e61,1,33.69,63
949,29,point_progress,612.83,3,T_f27c3e61,1,66.79,63
950,29,point_progress,625.05,3,T_a02bf5e9,1,33.58,63
951,29,point_progress,627.11,3,T_a02bf5e9,1,66.88,63
952,29,point_progress,638.83,3,T_5568bd9d,1,33.97,63
953,29,point_progress,640.16,3,T_5568bd9d,1,67.18,63
954,29,point_progress,641.49,3,T_a02bf5e9,1,0,63
955,29,point_progress,683.99,3,T_a02bf5e9,1,33.57,63
956,29,point_progress,749.16,3,T_a02bf5e9,1,33.44,63
957,29,point_progress,750.48,3,T_a02bf5e9,1,66.64,63
958,29,point_progress,789.09,3,T_5568bd9d,1,33.38,63
959,29,point_progress,791.45,3,T_5568bd9d,1,66.77,63
960,29,point_progress,794.11,3,T_5568bd9d,1,99.97,63
961,29,point_progress,45.17,1,T_f27c3e61,2,33.56,64
962,29,point_progress,52.88,1,T_f27c3e61,2,66.65,64
963,29,point_progress,91.93,1,T_5568bd9d,2,33.38,64
964,29,point_progress,93.42,1,T_5568bd9d,2,66.68,64
965,29,point_progress,176.94,1,T_5568bd9d,2,33.37,64
966,29,point_progress,178.73,1,T_5568bd9d,2,66.77,64
967,29,point_progress,344.8,2,T_f27c3e61,0,33.58,64
968,29,point_progress,346.26,2,T_f27c3e61,0,66.68,64
969,29,point_progress,347.67,2,T_f27c3e61,0,99.98,64
970,29,point_progress,409.67,2,T_a02bf5e9,0,33.39,64
971,29,point_progress,415.03,2,T_a02bf5e9,0,66.66,64
972,29,point_progress,461.41,2,T_5568bd9d,0,33.39,64
973,29,point_progress,462.85,2,T_5568bd9d,0,66.89,64
974,29,point_progress,512.36,2,T_a02bf5e9,0,33.59,64
975,29,point_progress,514.15,2,T_a02bf5e9,0,66.79,64
976,29,point_progress,516.04,2,T_a02bf5e9,0,99.99,64
977,29,point_progress,549.19,2,T_5568bd9d,0,33.85,64
978,29,point_progress,550.5,2,T_5568bd9d,0,66.65,64
979,29,point_progress,610.56,3,T_f27c3e61,1,33.69,64
980,29,point_progress,612.83,3,T_f27c3e61,1,66.79,64
981,29,point_progress,625.05,3,T_a02bf5e9,1,33.58,64
982,29,point_progress,627.11,3,T_a02bf5e9,1,66.88,64
983,29,point_progress,638.83,3,T_5568bd9d,1,33.97,64
984,29,point_progress,640.16,3,T_5568bd9d,1,67.18,64
985,29,point_progress,641.49,3,T_a02bf5e9,1,0,64
986,29,point_progress,683.99,3,T_a02bf5e9,1,33.57,64
987,29,point_progress,749.16,3,T_a02bf5e9,1,33.44,64
988,29,point_progress,750.48,3,T_a02bf5e9,1,66.64,64
989,29,point_progress,789.09,3,T_5568bd9d,1,33.38,64
990,29,point_progress,791.45,3,T_5568bd9d,1,66.77,64
991,29,point_progress,794.11,3,T_5568bd9d,1,99.97,64
992,29,point_progress,45.17,1,T_f27c3e61,2,33.56,65
993,29,point_progress,52.88,1,T_f27c3e61,2,66.65,65
994,29,point_progress,91.93,1,T_5568bd9d,2,33.38,65
995,29,point_progress,93.42,1,T_5568bd9d,2,66.68,65
996,29,point_progress,176.94,1,T_5568bd9d,2,33.37,65
997,29,point_progress,178.73,1,T_5568bd9d,2,66.77,65
998,29,point_progress,344.8,2,T_f27c3e61,0,33.58,65
999,29,point_progress,346.26,2,T_f27c3e61,0,66.68,65
1000,29,point_progress,347.67,2,T_f27c3e61,0,99.98,65
1001,29,point_progress,409.67,2,T_a02bf5e9,0,33.39,65
1002,29,point_progress,415.03,2,T_a02bf5e9,0,66.66,65
1003,29,point_progress,461.41,2,T_5568bd9d,0,33.39,65
1004,29,point_progress,462.85,2,T_5568bd9d,0,66.89,65
