id,scrimId,event_type,match_time,round_number,previous_objective_index,current_objective_index,MapDataId
14513,1124,objective_updated,298.12,1,1,2,4428
14514,1124,objective_updated,429.46,1,2,3,4428
14515,1124,objective_updated,429.46,2,3,0,4428
14516,1124,objective_updated,698.37,2,0,1,4428
14517,1124,objective_updated,807.13,2,1,2,4428
14518,1125,objective_updated,0,1,0,1,4429
14519,1125,objective_updated,279.59,2,1,2,4429
14520,1125,objective_updated,467.14,3,2,0,4429
14528,1125,objective_updated,178.78,1,0,1,4432
14529,1125,objective_updated,415.62,2,1,0,4432
14530,1125,objective_updated,569.09,2,0,1,4432
14531,1125,objective_updated,731.63,2,1,2,4432
14532,1125,objective_updated,896.46,2,2,3,4432
14533,1125,objective_updated,161.17,2,0,4,4433
14534,1125,objective_updated,380.76,3,4,2,4433
14535,1125,objective_updated,494.99,4,2,3,4433
14536,1125,objective_updated,717.12,5,3,1,4433
14537,1125,objective_updated,942.62,6,1,3,4433
14543,1125,objective_updated,0,1,0,2,4435
14544,1125,objective_updated,286.81,2,2,0,4435
14545,1125,objective_updated,572.49,3,0,1,4435
14550,1127,objective_updated,0,1,0,2,4437
14551,1127,objective_updated,42.38,1,2,3,4437
14552,1127,objective_updated,84.78,1,3,4,4437
14553,1127,objective_updated,137.82,1,4,5,4437
14554,1128,objective_updated,0,1,0,1,4438
14555,1128,objective_updated,282.24,2,1,0,4438
14556,1128,objective_updated,476.03,3,0,2,4438
14557,1128,objective_updated,182.42,1,0,1,4439
14558,1128,objective_updated,432.12,2,1,0,4439
14559,1128,objective_updated,498.83,2,0,1,4439
14560,1128,objective_updated,602.97,2,1,2,4439
14561,1128,objective_updated,691.05,2,2,3,4439
14562,1128,objective_updated,521.83,2,0,1,4441
14563,1128,objective_updated,145.47,2,0,4,4442
14564,1128,objective_updated,350.58,3,4,2,4442
14565,1128,objective_updated,500.94,4,2,1,4442
14566,1128,objective_updated,665.3,5,1,3,4442
14567,1128,objective_updated,788.36,6,3,4,4442
14568,1128,objective_updated,521.83,2,0,1,4443
14569,1128,objective_updated,521.83,2,0,1,4444
14570,1128,objective_updated,145.47,2,0,4,4445
14571,1128,objective_updated,350.58,3,4,2,4445
14572,1128,objective_updated,500.94,4,2,1,4445
14573,1128,objective_updated,665.3,5,1,3,4445
14574,1128,objective_updated,788.36,6,3,4,4445
14575,1128,objective_updated,161.43,2,0,2,4447
14576,1128,objective_updated,369.03,3,2,1,4447
14577,1128,objective_updated,0,1,0,2,4448
14578,1128,objective_updated,43.49,1,2,3,4448
14579,1128,objective_updated,96.96,1,3,2,4448
14580,1128,objective_updated,138.62,1,2,1,4448
14581,1128,objective_updated,201.06,1,1,2,4448
14582,1128,objective_updated,241.24,1,2,3,4448
14583,1128,objective_updated,300.12,1,3,2,4448
14584,1128,objective_updated,408.66,1,2,1,4448
14585,1128,objective_updated,459.75,1,1,2,4448
14586,1128,objective_updated,503.66,1,2,3,4448
14587,1129,objective_updated,0,1,0,1,4449
14588,1129,objective_updated,253.71,2,1,0,4449
14589,1129,objective_updated,433.84,3,0,2,4449
14594,1129,objective_updated,186.91,1,0,1,4451
14595,1129,objective_updated,378.81,1,1,2,4451
14596,1129,objective_updated,473.84,1,2,3,4451
14597,1129,objective_updated,473.84,2,3,0,4451
14598,1129,objective_updated,616.26,2,0,1,4451
14599,1129,objective_updated,0,1,0,2,4453
14600,1129,objective_updated,40.67,1,2,3,4453
14601,1129,objective_updated,94.09,1,3,4,4453
14602,1129,objective_updated,172.01,1,4,3,4453
14603,1129,objective_updated,212.64,1,3,4,4453
14617,1130,objective_updated,127.29,1,0,1,4457
14618,1130,objective_updated,261.68,1,1,2,4457
14619,1130,objective_updated,495.69,1,2,3,4457
14620,1130,objective_updated,495.69,2,3,0,4457
14627,1130,objective_updated,0,1,0,2,4460
14628,1130,objective_updated,42.08,1,2,1,4460
14629,1130,objective_updated,105.28,1,1,2,4460
14630,1130,objective_updated,148.91,1,2,3,4460
14631,1130,objective_updated,215.56,1,3,4,4460
14632,1130,objective_updated,284.66,1,4,3,4460
14633,1130,objective_updated,373.68,1,3,2,4460
14634,1130,objective_updated,433.92,1,2,1,4460
14635,1130,objective_updated,504.71,1,1,2,4460
14636,1130,objective_updated,562.41,1,2,1,4460
14637,1130,objective_updated,109.4,2,0,4,4461
14638,1130,objective_updated,322.97,3,4,1,4461
14639,1130,objective_updated,538.13,4,1,3,4461
14640,1130,objective_updated,670.68,5,3,2,4461
