[00:02:30] ;player_status;Electric;Zenyatta;(36.33, 0.79, -43.17)
[00:02:30] ;player_health;Electric;200;200
[00:02:30] ;player_ult;Electric;1;0
[00:02:30] ;player_status;seniorcheese;D.Va;(-21.20, 0.06, -39.45)
[00:02:30] ;player_health;seniorcheese;552;600
[00:02:30] ;player_ult;seniorcheese;2;0
[00:02:30] ;used_ability_1;BiggieZ;Symmetra;<Icon>
[00:02:30] ;used_ability_1;JohnnyB;Mercy;<Icon>
[00:02:30] ;damage_dealt;teejusb;93.46;Catalyst
[00:02:30] ;damage_dealt;ModWilliam;12;seniorcheese
[00:02:31] ;used_ability_1;BiggieZ;Symmetra;<Icon>
[00:02:31] ;player_status;teejusb;Pharah;(15.12, 27.55, -35.54)
[00:02:31] ;player_health;teejusb;200;200
[00:02:31] ;player_ult;teejusb;6;0
[00:02:31] ;player_status;ModWilliam;Echo;(18.25, 0.00, -32.40)
[00:02:31] ;player_health;ModWilliam;200;200
[00:02:31] ;player_ult;ModWilliam;5;0
[00:02:31] ;player_status;Midreadias;Sigma;(26.12, -0.00, -40.55)
[00:02:31] ;player_health;Midreadias;400;400
[00:02:31] ;player_ult;Midreadias;2;0
[00:02:31] ;player_status;BiggieZ;Symmetra;(-27.12, -0.00, -35.45)
[00:02:31] ;player_health;BiggieZ;225;225
[00:02:31] ;player_ult;BiggieZ;2;0
[00:02:31] ;player_status;jhan;Tracer;(-21.16, 0.06, -41.70)
[00:02:31] ;player_health;jhan;150;150
[00:02:31] ;player_ult;jhan;3;0
[00:02:31] ;player_status;Yomi;Lúcio;(-1.93, 7.94, -53.54)
[00:02:31] ;player_health;Yomi;200;200
[00:02:31] ;player_ult;Yomi;1;0
[00:02:31] ;player_status;JohnnyB;Mercy;(32.57, 28.05, -30.19)
[00:02:31] ;player_health;JohnnyB;200;200
[00:02:31] ;player_ult;JohnnyB;3;0
[00:02:31] ;player_status;Catalyst;Brigitte;(-4.35, 8.01, -52.29)
[00:02:31] ;player_health;Catalyst;106.54;200
[00:02:31] ;player_ult;Catalyst;1;0
[00:02:31] ;player_status;MortalWombat;Wrecking Ball;(13.15, -1.00, -66.35)
[00:02:31] ;player_health;MortalWombat;600;600
[00:02:31] ;player_ult;MortalWombat;2;0
[00:02:31] ;player_status;hypnobeam;Reinhardt;(-20.65, 0.00, -41.81)
[00:02:31] ;player_health;hypnobeam;550;550
[00:02:31] ;player_ult;hypnobeam;2;0
[00:02:31] ;player_status;Electric;Zenyatta;(31.29, 0.00, -42.12)
[00:02:31] ;player_health;Electric;200;200
[00:02:31] ;player_ult;Electric;1;0
[00:02:31] ;player_status;seniorcheese;D.Va;(-20.17, 0.00, -39.75)
[00:02:31] ;player_health;seniorcheese;540;600
[00:02:31] ;player_ult;seniorcheese;2;0
[00:02:31] ;damage_dealt;teejusb;150;jhan
[00:02:31] ;did_final_blow;teejusb;150;jhan
[00:02:31] ;did_final_blow;teejusb;150;jhan
[00:02:31] ;did_elim;teejusb;150;jhan
[00:02:31] ;damage_dealt;teejusb;61.21;Yomi
[00:02:32] ;player_status;teejusb;Pharah;(10.78, 21.26, -39.33)
[00:02:32] ;player_health;teejusb;200;200
[00:02:32] ;player_ult;teejusb;16;0
[00:02:32] ;player_status;ModWilliam;Echo;(13.73, 0.78, -33.88)
[00:02:32] ;player_health;ModWilliam;200;200
[00:02:32] ;player_ult;ModWilliam;5;0
[00:02:32] ;player_status;Midreadias;Sigma;(20.87, -0.14, -39.38)
[00:02:32] ;player_health;Midreadias;400;400
[00:02:32] ;player_ult;Midreadias;2;0
[00:02:32] ;player_status;BiggieZ;Symmetra;(-24.85, -0.00, -33.08)
[00:02:32] ;player_health;BiggieZ;225;225
[00:02:32] ;player_ult;BiggieZ;2;0
[00:02:32] ;player_status;jhan;Tracer;(-3.31, 8.01, -52.09)
[00:02:32] ;player_health;jhan;0;150
[00:02:32] ;player_ult;jhan;3;0
[00:02:32] ;player_status;Yomi;Lúcio;(0.50, -1.00, -61.41)
[00:02:32] ;player_health;Yomi;138.79;200
[00:02:32] ;player_ult;Yomi;1;0
[00:02:32] ;player_status;JohnnyB;Mercy;(31.51, 22.80, -26.48)
[00:02:32] ;player_health;JohnnyB;200;200
[00:02:32] ;player_ult;JohnnyB;6;0
[00:02:32] ;player_status;Catalyst;Brigitte;(-5.25, 3.50, -56.50)
[00:02:32] ;player_health;Catalyst;106.54;200
[00:02:32] ;player_ult;Catalyst;1;0
[00:02:32] ;player_status;MortalWombat;Wrecking Ball;(11.86, -1.46, -62.75)
[00:02:32] ;player_health;MortalWombat;600;600
[00:02:32] ;player_ult;MortalWombat;3;0
[00:02:32] ;player_status;hypnobeam;Reinhardt;(-2.47, 6.45, -54.71)
[00:02:32] ;player_health;hypnobeam;550;550
[00:02:32] ;player_ult;hypnobeam;3;0
[00:02:32] ;player_status;Electric;Zenyatta;(27.13, 0.00, -38.98)
[00:02:32] ;player_health;Electric;200;200
[00:02:32] ;player_ult;Electric;2;0
[00:02:32] ;player_status;seniorcheese;D.Va;(-3.94, 8.02, -52.82)
[00:02:32] ;player_health;seniorcheese;540;600
[00:02:32] ;player_ult;seniorcheese;3;0
[00:02:32] ;did_healing;Yomi;2.56;Yomi
[00:02:32] ;did_healing;Yomi;3.07;Catalyst
[00:02:32] ;did_healing;Yomi;3.07;seniorcheese
[00:02:32] ;did_healing;Yomi;2.36;Yomi
[00:02:32] ;did_healing;Yomi;3.07;Catalyst
[00:02:32] ;did_healing;Yomi;3.07;seniorcheese
[00:02:32] ;did_healing;Yomi;2.36;Yomi
[00:02:32] ;did_healing;Yomi;3.33;Catalyst
