[00:03:20] ;player_health;burninate;150;150
[00:03:20] ;player_ult;burninate;2;0
[00:03:20] ;player_status;Electric;Zenyatta;(5.07, 1.91, 89.59)
[00:03:20] ;player_health;Electric;200;200
[00:03:20] ;player_ult;Electric;1;0
[00:03:20] ;player_status;seniorcheese;D.Va;(-15.58, -0.60, 47.36)
[00:03:20] ;player_health;seniorcheese;600;600
[00:03:20] ;player_ult;seniorcheese;2;0
[00:03:20] ;player_status;Midreadias;Zarya;(-10.56, 1.27, 79.32)
[00:03:20] ;player_health;Midreadias;400;400
[00:03:20] ;player_ult;Midreadias;1;0
[00:03:20] ;player_status;Catalyst;Ana;(-7.38, -4.23, 34.08)
[00:03:20] ;player_health;Catalyst;200;200
[00:03:20] ;player_ult;Catalyst;1;0
[00:03:20] ;player_status;teejusb;Ashe;(-0.37, 1.92, 92.81)
[00:03:20] ;player_health;teejusb;200;200
[00:03:20] ;player_ult;teejusb;1;0
[00:03:20] ;player_status;JohnnyB;Ana;(-26.38, 2.02, 103.33)
[00:03:20] ;player_health;JohnnyB;200;200
[00:03:20] ;player_ult;JohnnyB;1;0
[00:03:20] ;player_status;MortalWombat;Winston;(9.46, -2.73, 67.13)
[00:03:20] ;player_health;MortalWombat;500;500
[00:03:20] ;player_ult;MortalWombat;2;0
[00:03:20] ;player_status;hypnobeam;Winston;(-22.40, -4.91, 32.63)
[00:03:20] ;player_health;hypnobeam;500;500
[00:03:20] ;player_ult;hypnobeam;2;0
[00:03:21] ;player_status;BiggieZ;Sombra;(-8.93, -3.14, 55.73)
[00:03:21] ;player_health;BiggieZ;200;200
[00:03:21] ;player_ult;BiggieZ;2;0
[00:03:21] ;player_status;Yomi;Lúcio;(-19.23, -5.40, 26.99)
[00:03:21] ;player_health;Yomi;200;200
[00:03:21] ;player_ult;Yomi;1;0
[00:03:21] ;player_status;jhan;Tracer;(-21.82, -3.33, 39.97)
[00:03:21] ;player_health;jhan;150;150
[00:03:21] ;player_ult;jhan;3;0
[00:03:21] ;player_status;burninate;Tracer;(-28.63, -1.65, 54.07)
[00:03:21] ;player_health;burninate;150;150
[00:03:21] ;player_ult;burninate;3;0
[00:03:21] ;player_status;Electric;Zenyatta;(2.55, 1.92, 87.40)
[00:03:21] ;player_health;Electric;200;200
[00:03:21] ;player_ult;Electric;1;0
[00:03:21] ;player_status;seniorcheese;D.Va;(-14.27, -3.49, 51.60)
[00:03:21] ;player_health;seniorcheese;600;600
[00:03:21] ;player_ult;seniorcheese;2;0
[00:03:21] ;player_status;Midreadias;Zarya;(-12.29, 1.45, 78.60)
[00:03:21] ;player_health;Midreadias;400;400
[00:03:21] ;player_ult;Midreadias;1;0
[00:03:21] ;player_status;Catalyst;Ana;(-3.65, -4.23, 37.80)
[00:03:21] ;player_health;Catalyst;200;200
[00:03:21] ;player_ult;Catalyst;1;0
[00:03:21] ;player_status;teejusb;Ashe;(0.49, 1.92, 90.30)
[00:03:21] ;player_health;teejusb;200;200
[00:03:21] ;player_ult;teejusb;1;0
[00:03:21] ;player_status;JohnnyB;Ana;(-26.79, 2.02, 103.57)
[00:03:21] ;player_health;JohnnyB;200;200
[00:03:21] ;player_ult;JohnnyB;1;0
[00:03:21] ;player_status;MortalWombat;Winston;(9.42, -2.69, 66.71)
[00:03:21] ;player_health;MortalWombat;500;500
[00:03:21] ;player_ult;MortalWombat;2;0
[00:03:21] ;player_status;hypnobeam;Winston;(-24.11, -3.89, 37.88)
[00:03:21] ;player_health;hypnobeam;500;500
[00:03:21] ;player_ult;hypnobeam;2;0
[00:03:21] ;damage_dealt;seniorcheese;0.60;Midreadias
[00:03:21] ;used_ability_2;teejusb;Ashe;<Icon>
[00:03:21] ;did_healing;Electric;1.80;Midreadias
[00:03:21] ;damage_dealt;seniorcheese;1.20;Midreadias
[00:03:22] ;damage_dealt;seniorcheese;0.60;Midreadias
[00:03:22] ;did_healing;Electric;0.60;Midreadias
[00:03:22] ;damage_dealt;seniorcheese;1.20;Midreadias
[00:03:22] ;did_healing;Electric;1.20;Midreadias
[00:03:22] ;player_status;BiggieZ;Sombra;(-2.26, -2.50, 60.33)
[00:03:22] ;player_health;BiggieZ;200;200
[00:03:22] ;player_ult;BiggieZ;3;0
